Party ID 1:,Party ID 2:,Party ID:,Total Number Of Works:,Member Name:,Work Title,ASCAP Work ID,Interested Parties,IPI Number,Interested Party Status,Role,Society,Own%,Collect%,Registration Date,Registration Status,Surveyed Work,ISWC Number,Work Licenced By ASCAP,Share Licenced By ASCAP
5948691,,5948691,769,"MELODIES OF RIGOLETTO MUSIC PUBLISHING","5 VECES MI CORRIDO",913328318,"BUSTOS HURTADO, ALEMI",1067193059,"Identified Authoritative","CA","ASCAP",50.00%,50.00%,10/01/2021,"Accepted","Y","T3071789210","Y","Y"
5948691,,5948691,769,"MELODIES OF RIGOLETTO MUSIC PUBLISHING","5 VECES MI CORRIDO",913328318,"MELODIES OF AFINARTE",807953316,"Identified Authoritative","E","ASCAP",50.00%,0.00%,10/01/2021,"Accepted","Y","T3071789210","Y",
5948691,,5948691,769,"MELODIES OF RIGOLETTO MUSIC PUBLISHING","5 VECES MI CORRIDO",913328318,"MELODIES OF RIGOLETTO MUSIC PUBLISHING",1036461187,"Identified Authoritative","AM","ASCAP",0.00%,50.00%,10/01/2021,"Accepted","Y","T3071789210","Y","Y"
5948691,,5948691,769,"MELODIES OF RIGOLETTO MUSIC PUBLISHING","500 VECES",933533197,"LIZARRAGA PAGOLA, LUIS ANTONIO",761798200,"Identified Authoritative","CA","BMI",16.67%,16.67%,12/09/2025,"Accepted","N","T3369450051","Y","N"
5948691,,5948691,769,"MELODIES OF RIGOLETTO MUSIC PUBLISHING","500 VECES",933533197,"ONTIVEROS ASTORGA, ROBERTO CARLOS",1199756292,"Identified Authoritative","CA","ASCAP",16.67%,16.67%,12/09/2025,"Accepted","N","T3369450051","Y","Y"
5948691,,5948691,769,"MELODIES OF RIGOLETTO MUSIC PUBLISHING","500 VECES",933533197,"OSUNA, ROBERTO CLEMENTE FAVELA",1148774034,"Identified Authoritative","CA","BMI",16.66%,16.66%,12/09/2025,"Accepted","N","T3369450051","Y","N"
5948691,,5948691,769,"MELODIES OF RIGOLETTO MUSIC PUBLISHING","500 VECES",933533197,"MELODIES OF AFINARTE",807953316,"Identified Authoritative","E","ASCAP",16.67%,0.00%,12/09/2025,"Accepted","N","T3369450051","Y",
5948691,,5948691,769,"MELODIES OF RIGOLETTO MUSIC PUBLISHING","500 VECES",933533197,"MELODIES OF RIGOLETTO MUSIC PUBLISHING",1036461187,"Identified Authoritative","AM","ASCAP",0.00%,16.67%,12/09/2025,"Accepted","N","T3369450051","Y","Y"
5948691,,5948691,769,"MELODIES OF RIGOLETTO MUSIC PUBLISHING","500 VECES",933533197,"SONGS OF AFINARTE",817874992,"Identified Authoritative","E","BMI",33.33%,0.00%,12/09/2025,"Accepted","N","T3369450051","Y",
5948691,,5948691,769,"MELODIES OF RIGOLETTO MUSIC PUBLISHING","500 VECES",933533197,"SONGS OF RIGOLETTO MUSIC PUBLISHING",1050464001,"Identified Authoritative","AM","BMI",0.00%,33.33%,12/09/2025,"Accepted","N","T3369450051","Y","N"
