TitleNumber,Title,WtrPubIndicator,PubType,Participant,Share,IPNameNumber,CurrentAffliation,RegistrationDate,RegistrationOrigin,ISWCNumber,SongviewStatus
14207649,CORRIDO DE CHANO,P,O,SONGS OF AFINARTE,100.00,00817874992,"BMI     ",05/12/2012,WORKS REGISTRATION,T9119175109,Reconciled
14207649,CORRIDO DE CHANO,W," ",HAROS PEDRO,100.00,00675463414,"BMI     ",05/12/2012,WORKS REGISTRATION,T9119175109,Reconciled
14207650,PACIENCIA AL PACIENTE,P,O,SONGS OF AFINARTE,100.00,00817874992,"BMI     ",05/12/2012,WORKS REGISTRATION,T9119175110,Reconciled
14207650,PACIENCIA AL PACIENTE,W," ",HAROS PEDRO,100.00,00675463414,"BMI     ",05/12/2012,WORKS REGISTRATION,T9119175110,Reconciled
14207651,ELEMENTO PRIMARIO,P,O,SONGS OF AFINARTE,100.00,00817874992,"BMI     ",05/12/2012,WORKS REGISTRATION,T9119175121,Reconciled
14207651,ELEMENTO PRIMARIO,W," ",HAROS PEDRO,100.00,00675463414,"BMI     ",05/12/2012,WORKS REGISTRATION,T9119175121,Reconciled
14207652,EN GUERRA AVISADA,P,O,SONGS OF AFINARTE,100.00,00817874992,"BMI     ",05/12/2012,WORKS REGISTRATION,T9119175132,Reconciled
14207652,EN GUERRA AVISADA,W," ",HAROS PEDRO,100.00,00675463414,"BMI     ",05/12/2012,WORKS REGISTRATION,T9119175132,Reconciled
14207653,ARMAGUEDONES,P,O,SONGS OF AFINARTE,100.00,00817874992,"BMI     ",05/12/2012,WORKS REGISTRATION,T9119175143,Reconciled
14207653,ARMAGUEDONES,W," ",HAROS PEDRO,100.00,00675463414,"BMI     ",05/12/2012,WORKS REGISTRATION,T9119175143,Reconciled
14207654,EN REVOLUCIONES,P,O,SONGS OF AFINARTE,100.00,00817874992,"BMI     ",05/12/2012,WORKS REGISTRATION,T9119175154,Reconciled
14207654,EN REVOLUCIONES,W," ",HAROS PEDRO,100.00,00675463414,"BMI     ",05/12/2012,WORKS REGISTRATION,T9119175154,Reconciled
14207655,CON ESCUELA DE UN RANCHERO,P,O,SONGS OF AFINARTE,100.00,00817874992,"BMI     ",05/12/2012,WORKS REGISTRATION,T9119175165,Reconciled
14207655,CON ESCUELA DE UN RANCHERO,W," ",HAROS PEDRO,100.00,00675463414,"BMI     ",05/12/2012,WORKS REGISTRATION,T9119175165,Reconciled
14207656,LA DONA DE NEGRO,P,O,SONGS OF AFINARTE,100.00,00817874992,"BMI     ",05/12/2012,WORKS REGISTRATION,T9119175176,Reconciled
14207656,LA DONA DE NEGRO,W," ",HAROS PEDRO,100.00,00675463414,"BMI     ",05/12/2012,WORKS REGISTRATION,T9119175176,Reconciled
