Mri ID,Song Title,Publisher(s),Composer(s),US Share,Revised Share,Not Our Song,Last Updated
885368445,SOMBRERO LADEADO,SONGS OF AFINARTE,"GONZALEZ, VIANCA L",100.00%,,false,
891411125,EL JEFE DE PLAZA,MELODIES OF AFINARTE,"BORJA, GERARDO DIAZ",100.00%,,false,
877751813,MARTIN MACHADO,SONGS OF AFINARTE,"HAROS, PEDRO",100.00%,,false,
891367484,GOLPES DEL VIENTO,MUSIC OF AFINARTE,"RAMIREZ, ROBERTO MIRANDA",100.00%,,false,
895179683,PORTE DE PISTOLERO,MELODIES OF AFINARTE,"ZAPATA, ORLANDO",100.00%,,false,
901733154,MI JEFE,SONGS OF AFINARTE,"QUEZADA MANCHA, ALFONSO DE JESUS",100.00%,,false,
901463812,CUENTO DE NUNCA ACABAR,SONGS OF AFINARTE,"QUEZADA, IMANOL",100.00%,,false,
895179709,AMARGA NAVIDAD,SONGS OF AFINARTE,"GARCIA, RODOLFO",100.00%,,false,
901344973,MARCELO GOMEZ,MELODIES OF AFINARTE,"BUSTOS HURTADO, ALEMI",100.00%,,false,
902211218,YO SOY RICO,SONGS OF AFINARTE,"QUEZADA, IMANOL",100.00%,,false,
891367483,ESCUELA DEL VIEJO,MUSIC OF AFINARTE,"RAMIREZ, ROBERTO MIRANDA",100.00%,,false,
877010047,PROPIO PATRON,SONGS OF AFINARTE,"HAROS, PEDRO",100.00%,,false,
905380352,SALUD,SONGS OF AFINARTE,"QUEZADA, ALFONSO DE JESUS JR/QUEZADA, IMANOL",100.00%,,false,
891367479,EL RECLUTADO,MUSIC OF AFINARTE,"RAMIREZ, ROBERTO MIRANDA",100.00%,,false,
901463860,LOS DOS RANCHEROS,MELODIES OF AFINARTE,"GUZMAN SANCHEZ, JUAN LUIS",100.00%,,false,
901660166,EL JEFFREY DE EAST LA,SONGS OF AFINARTE,"COBIAN CARO, RAFAEL",100.00%,,false,
891303143,UNO DE LOS TANTOS JUNIORS,MELODIES OF AFINARTE,"GUZMAN SANCHEZ, JUAN LUIS",100.00%,,false,
901660145,LO VALIOSA QUE ES LA VIDA,SONGS OF AFINARTE,"AMARO, MANUEL MOLINA",100.00%,,false,
905380356,MODIFICADO,SONGS OF AFINARTE,"QUEZADA, ALFONSO DE JESUS JR/QUEZADA, IMANOL",100.00%,,false,
886290223,"NANO, EL",MELODIES OF AFINARTE,"GARCIA, ALEXANDER",100.00%,,false,
899644145,ASI ES LA VIDA,MELODIES OF AFINARTE,"FELIX, LUIS ENRIQUE",100.00%,,false,
891410451,DONDE PONGO EL OJO,MELODIES OF AFINARTE,"RIOS ECHEVERRIA, ADRIANA ISABEL",100.00%,,false,
