Song #,Song Title,Reg. Date,ISWC #,Affiliate #,Name,Pro,Publisher/Writer,Share %
736232355,ALCOHOL Y PERDICION,06/27/2024,T3280807190,4579964,RAMON ALEJANDRO HERNANDEZ CEBALLOS,SESAC,W,50.000000
736232355,ALCOHOL Y PERDICION,06/27/2024,T3280807190,494884,MUSIC OF AFINARTE,SESAC,P,50.000000
703981854,AL MILLON,05/27/2021,T3040752312,451248,EDUARDO GURROLA MARTINES,SESAC,W,25.000000
703981854,AL MILLON,05/27/2021,T3040752312,4519319,SONGS OF AFINARTE,BMI,P,25.000000
703981854,AL MILLON,05/27/2021,T3040752312,494884,MUSIC OF AFINARTE,SESAC,P,25.000000
703981854,AL MILLON,05/27/2021,T3040752312,5301931,ALFONSO DE JESUS QUEZADA,BMI,W,25.000000
701012608,A PESAR DE TODO,12/18/2020,T3096508582,475718,ROBERTO RAMIREZ MIRANDA,BMI,W,50.000000
701012608,A PESAR DE TODO,12/18/2020,T3096508582,494884,MUSIC OF AFINARTE,SESAC,P,50.000000
59025289,A QUÉ LE TEMES,02/01/2019,T3107850084,475718,ROBERTO RAMIREZ MIRANDA,BMI,W,50.000000
59025289,A QUÉ LE TEMES,02/01/2019,T3107850084,494884,MUSIC OF AFINARTE,SESAC,P,50.000000
735099376,AQUÍ ANDAMOS,06/27/2024,T3280670711,475718,ROBERTO RAMIREZ MIRANDA,BMI,W,50.000000
735099376,AQUÍ ANDAMOS,06/27/2024,T3280670711,494884,MUSIC OF AFINARTE,SESAC,P,50.000000
743191037,AQUI EN JALISCO,01/10/2025,,1982485,ALEXANDER GARCIA,ASCAP,W,25.000000
743191037,AQUI EN JALISCO,01/10/2025,,3182338,MELODIES OF AFINARTE,ASCAP,P,25.000000
743191037,AQUI EN JALISCO,01/10/2025,,451248,EDUARDO GURROLA MARTINES,SESAC,W,25.000000
743191037,AQUI EN JALISCO,01/10/2025,,494884,MUSIC OF AFINARTE,SESAC,P,25.000000
60935872,AQUÍ SENTADO,06/22/2020,T3092442218,475722,RICARDO RAMIREZ MIRANDA,SESAC,W,50.000000
60935872,AQUÍ SENTADO,06/22/2020,T3092442218,494884,MUSIC OF AFINARTE,SESAC,P,50.000000
717238813,A TODO DAR,08/10/2022,T3122086135,475718,ROBERTO RAMIREZ MIRANDA,BMI,W,50.000000
717238813,A TODO DAR,08/10/2022,T3122086135,494884,MUSIC OF AFINARTE,SESAC,P,50.000000
694675958,AY MOMENTOS,04/18/2019,T3088139195,475722,RICARDO RAMIREZ MIRANDA,SESAC,W,50.000000
694675958,AY MOMENTOS,04/18/2019,T3088139195,494884,MUSIC OF AFINARTE,SESAC,P,50.000000
720284576,BIENVENIDOS,11/24/2022,T3168003230,475718,ROBERTO RAMIREZ MIRANDA,BMI,W,50.000000
720284576,BIENVENIDOS,11/24/2022,T3168003230,494884,MUSIC OF AFINARTE,SESAC,P,50.000000
762867455,CABALLO ROBADO,01/06/2026,,3884481,ALEXANDER GARCIA,ASCAP,W,25.000000
762867455,CABALLO ROBADO,01/06/2026,,451248,EDUARDO GURROLA MARTINES,SESAC,W,25.000000
762867455,CABALLO ROBADO,01/06/2026,,4519319,SONGS OF AFINARTE,BMI,P,25.000000
762867455,CABALLO ROBADO,01/06/2026,,494884,MUSIC OF AFINARTE,SESAC,P,25.000000
727244756,CAMBIE LA JUGADA,09/20/2023,T3264481978,2004526,CARLOS OCTAVIO LEON HERNANDEZ,UNKNOWN,W,25.000000
727244756,CAMBIE LA JUGADA,09/20/2023,T3264481978,4514108,JOSE ANGEL PEREZ,SESAC,W,25.000000
727244756,CAMBIE LA JUGADA,09/20/2023,T3264481978,4519319,SONGS OF AFINARTE,BMI,P,25.000000
727244756,CAMBIE LA JUGADA,09/20/2023,T3264481978,494884,MUSIC OF AFINARTE,SESAC,P,25.000000
753228398,CANTAN LAS RANAS,06/10/2025,T3335665691,494884,MUSIC OF AFINARTE,SESAC,P,50.000000
753228398,CANTAN LAS RANAS,06/10/2025,T3335665691,967179,OSCAR MANUEL AVILEZ FLORES,SESAC,W,50.000000
60779443,CAPAZ DE TODO,01/29/2020,T3128385246,4517420,RUBEN SALAZAR ASTORGA,BMI,W,50.000000
60779443,CAPAZ DE TODO,01/29/2020,T3128385246,494884,MUSIC OF AFINARTE,SESAC,P,50.000000
723690804,CARGANDO LA CRUZ,07/13/2023,T3264248688,480575,JESUS ANTONIO INZUNZA MONTOYA,SESAC,W,50.000000
723690804,CARGANDO LA CRUZ,07/13/2023,T3264248688,494884,MUSIC OF AFINARTE,SESAC,P,50.000000
693652383,CHUY BALAS,04/03/2019,T3108036966,475718,ROBERTO RAMIREZ MIRANDA,BMI,W,50.000000
693652383,CHUY BALAS,04/03/2019,T3108036966,494884,MUSIC OF AFINARTE,SESAC,P,50.000000
700033786,COMO LE HAGO,10/01/2020,T3173397956,456690,NESTOR SAGID OLEA MENESES,SESAC,W,25.000000
700033786,COMO LE HAGO,10/01/2020,T3173397956,4569944,NESTOR ADALID OLEA MONTES,SESAC,W,25.000000
700033786,COMO LE HAGO,10/01/2020,T3173397956,494884,MUSIC OF AFINARTE,SESAC,P,50.000000
719307923,CON PORTE RANCHERO,10/19/2022,T3168069083,451248,EDUARDO GURROLA MARTINES,SESAC,W,50.000000
719307923,CON PORTE RANCHERO,10/19/2022,T3168069083,494884,MUSIC OF AFINARTE,SESAC,P,50.000000
699095155,CON VERTE A TI,09/08/2020,T3013464858,4517420,RUBEN SALAZAR ASTORGA,BMI,W,25.000000
699095155,CON VERTE A TI,09/08/2020,T3013464858,483978,JESUS OMAR TARAZON MEDINA,BMI,W,25.000000
699095155,CON VERTE A TI,09/08/2020,T3013464858,494884,MUSIC OF AFINARTE,SESAC,P,50.000000
717270684,CORAZÓN YA NO TENGO,08/10/2022,T3122086124,475718,ROBERTO RAMIREZ MIRANDA,BMI,W,50.000000
