"Artist","Track Title","ISRC","SXID","Effective %","Hold","Registrant","Payee ID#","Association Type"
"Kanales","La Parranda","FR96X2268969","SX211RUG57","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"Angel Sauceda","El Hakay","FR96X2257268","SX211RUG5F","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"Jr Salazar","Esta Noche Vengo A Verte","FR96X2268961","SX211RUG5H","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"Latigo Norteno","El Hombre De Las Canas","FR96X2269628","SX211RUG5K","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"Alemi Bustos","El De Los Gallos","FR96X2227809","SX211RUG5P","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"Decision Efectiva","El Kele","FR59R2279616","SX211RUG5Z","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"Los Dos De Tamaulipas","Se Oyen Varias Lenguas","FR59R2265991","SX211RUG69","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"Los Austeros De Durango","El Rengo Del Gallo Giro","FR59R2241315","SX211RUG6J","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"Los Austeros De Durango","De Puntitas","FR59R2241313","SX211RUG6L","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"Alemi Bustos","H20T","FR59R2250166","SX211RUG6T","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"Decision Efectiva","De Lo Malo Va Lo Bueno","FR59R2250199","SX211RUG6W","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"La Explosiva Banda De Maza","A Qué Se Debe","BK4DA2423861","SX2153EJPS","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"Los Dos Carnales","Un Millón De Primaveras","FRS182086607","SX2154TW1H","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"Los Dos Carnales","A Toda Madre","FRS182086608","SX2154TW1I","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"Los Dos Carnales","Lo Voy A Intentar","FRS182086609","SX2154TW1J","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"Los Dos Carnales","Chatita Linda","FRS182086603","SX2154TW1N","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
