MLC Song Code,Primary Title,ISWC,Member Song IDs,Artists,Party Id,Party Name,Party IPI,Party Role,Collectible Share,Chain of Title Id,Chain of Title Parent Id
LA9HRD,LAS VERDADES (EN VIVO),T9222891750,,EL FANTASMA,4381954,"JAVIER GONZALEZ, null",,Composer Writer,,2,
LA9HRD,LAS VERDADES (EN VIVO),T9222891750,,EL FANTASMA,11116906,"DE LEON HUEZ, OSCAR ARMANDO  DIAZ",00838132536,Composer Writer,,3,
LA9HRD,LAS VERDADES (EN VIVO),T9222891750,,EL FANTASMA,11176169,"LOZA, RICARDO  MICHEL MUNOZ",00852595211,Composer Writer,,4,
LA9HRD,LAS VERDADES (EN VIVO),T9222891750,,EL FANTASMA,PA39UA,MELODIES OF AFINARTE,00807953316,Original Publisher,0.000,1,2|3|4
LA9HRD,LAS VERDADES (EN VIVO),T9222891750,,EL FANTASMA,P077LY,RIGOLETTO MUSIC PUBLISHING,,Administrator,100.000,5,1
EV9CW4,EL CORRIDO DE LALO,T9203575386,,LOS NUEVOS ILEGALES,9415303,"RODRIGUEZ MONDRAGON, ANGEL ALEXIS",00826723428,Composer/Author,,2,
EV9CW4,EL CORRIDO DE LALO,T9203575386,,LOS NUEVOS ILEGALES,PA39UA,MELODIES OF AFINARTE,00807953316,Original Publisher,0.000,1,2
EV9CW4,EL CORRIDO DE LALO,T9203575386,,LOS NUEVOS ILEGALES,P077LY,RIGOLETTO MUSIC PUBLISHING,,Administrator,100.000,3,1
LVAUPR,LOS VALIENTES DE CHACALA,T9203576812,,,9399401,"BARRAZA CASTILLO, JOSE",00596305915,Composer/Author,,2,
LVAUPR,LOS VALIENTES DE CHACALA,T9203576812,,,PA39UA,MELODIES OF AFINARTE,00807953316,Original Publisher,0.000,1,2
LVAUPR,LOS VALIENTES DE CHACALA,T9203576812,,,P077LY,RIGOLETTO MUSIC PUBLISHING,,Administrator,100.000,3,1
EV9CW5,EL JAVI,T9203575422,,LOS NUEVOS ILEGALES,9415303,"RODRIGUEZ MONDRAGON, ANGEL ALEXIS",00826723428,Composer/Author,,2,
EV9CW5,EL JAVI,T9203575422,,LOS NUEVOS ILEGALES,PA39UA,MELODIES OF AFINARTE,00807953316,Original Publisher,0.000,1,2
EV9CW5,EL JAVI,T9203575422,,LOS NUEVOS ILEGALES,P077LY,RIGOLETTO MUSIC PUBLISHING,,Administrator,100.000,3,1
SVEGPY,SE RESUME EN EXPERIENCIA,T9203572092,,Los Nuevos Ilegales | LOS NUEVOS ILEGALES,9415303,"RODRIGUEZ MONDRAGON, ANGEL ALEXIS",00826723428,Composer/Author,,2,
SVEGPY,SE RESUME EN EXPERIENCIA,T9203572092,,Los Nuevos Ilegales | LOS NUEVOS ILEGALES,PA39UA,MELODIES OF AFINARTE,00807953316,Original Publisher,0.000,1,2
SVEGPY,SE RESUME EN EXPERIENCIA,T9203572092,,Los Nuevos Ilegales | LOS NUEVOS ILEGALES,P117Z9,MELODIES OF RIGOLETTO MUSIC PUBLISHING,01036461187,Administrator,100.000,3,1
AC8YC0,AURELIO SANCHEZ QUINTERO (EN VIVO),,,El Fantasma,11095896,"GARCIA, ALEXANDER",00782546705,Composer/Author,,2,
AC8YC0,AURELIO SANCHEZ QUINTERO (EN VIVO),,,El Fantasma,PA39UA,MELODIES OF AFINARTE,00807953316,Original Publisher,0.000,1,2
AC8YC0,AURELIO SANCHEZ QUINTERO (EN VIVO),,,El Fantasma,P117Z9,MELODIES OF RIGOLETTO MUSIC PUBLISHING,01036461187,Administrator,100.000,3,1
JC6YYL,JAIMITO LEYVA (EN VIVO),,,El Fantasma,11095896,"GARCIA, ALEXANDER",00782546705,Composer/Author,,2,
JC6YYL,JAIMITO LEYVA (EN VIVO),,,El Fantasma,PA39UA,MELODIES OF AFINARTE,00807953316,Original Publisher,0.000,1,2
JC6YYL,JAIMITO LEYVA (EN VIVO),,,El Fantasma,P117Z9,MELODIES OF RIGOLETTO MUSIC PUBLISHING,01036461187,Administrator,100.000,3,1
UA0IQ0,ULTIMA BATALLA DEL M1,,,Kanales,13148387,"GARCIA, ALEXANDER",00770930824,Composer/Author,,2,
UA0IQ0,ULTIMA BATALLA DEL M1,,,Kanales,P003TP,SONGS OF AFINARTE,00817874992,Original Publisher,0.000,1,2
UA0IQ0,ULTIMA BATALLA DEL M1,,,Kanales,P206D7,SONGS OF RIGOLETTO MUSIC PUBLISHING,01050464001,Administrator,100.000,3,1
YVAXFM,YA NO SOY GATO AHORA SOY PATRON,,,GERARDO DÃ?AZ Y SU GERARQUIA,11422900,"DIAZ BORJA, GERARDO",00845394311,Composer Writer,,2,
YVAXFM,YA NO SOY GATO AHORA SOY PATRON,,,GERARDO DÃ?AZ Y SU GERARQUIA,PL98MD,MUSIC OF AFINARTE,00817094629,Original Publisher,0.000,1,2
YVAXFM,YA NO SOY GATO AHORA SOY PATRON,,,GERARDO DÃ?AZ Y SU GERARQUIA,P206D7,SONGS OF RIGOLETTO MUSIC PUBLISHING,01050464001,Administrator,100.000,3,1
EVCFF5,EL AGUACATE,,,"GERARDO DIAZ Y SU GERARQUIA, AFINARTE MUSIC LLC",11422900,"DIAZ BORJA, GERARDO",00845394311,Composer Writer,,2,
EVCFF5,EL AGUACATE,,,"GERARDO DIAZ Y SU GERARQUIA, AFINARTE MUSIC LLC",PL98MD,MUSIC OF AFINARTE,00817094629,Original Publisher,0.000,1,2
EVCFF5,EL AGUACATE,,,"GERARDO DIAZ Y SU GERARQUIA, AFINARTE MUSIC LLC",P206D7,SONGS OF RIGOLETTO MUSIC PUBLISHING,01050464001,Administrator,100.000,3,1
NG23F9,NO JALO CONTIGO,,,El Fantasma | EL FANTASMA,13939293,"CABRERA, GEOVANI INZUNZA",00541699329,Composer/Author,,3,
NG23F9,NO JALO CONTIGO,,,El Fantasma | EL FANTASMA,P003TP,SONGS OF AFINARTE,00817874992,Original Publisher,0.000,1,
NG23F9,NO JALO CONTIGO,,,El Fantasma | EL FANTASMA,P206D7,SONGS OF RIGOLETTO MUSIC PUBLISHING,01050464001,Administrator,100.000,2,1
SC3FM1,SE VEIA VENIR,,,El Fantasma | EL FANTASMA,11576074,"GUERRERO, HECTOR  ENRIQUE",00754824615,Composer/Author,,3,
SC3FM1,SE VEIA VENIR,,,El Fantasma | EL FANTASMA,P003TP,SONGS OF AFINARTE,00817874992,Original Publisher,0.000,1,
